web-scraper-order,web-scraper-start-url,name,skills
"1562460814-1874","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an HR Business Partner","Human Resources (HR)"
"1562460814-1911","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Word 2013 Microsoft Office Specialist","Word Processing"
"1562460814-1926","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Successful Remote Worker","Time Management"
"1562460814-1884","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Technical Program Manager","Program Management"
"1562460814-1887","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Improve Your Microsoft Excel Skills","Data Visualization"
"1562460814-1870","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Becoming a Six Sigma Black Belt","Six Sigma"
"1562460814-1905","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Getting Started with Microsoft 365","Microsoft Excel"
"1562460814-1955","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Stay Ahead in Personal Finance","Personal Finance"
"1562460814-1917","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Access 2013 Microsoft Office Specialist","Data Analysis"
"1562460814-1878","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Digital Transformation for Leaders","Digital Transformation"
"1562460814-1896","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a SharePoint 2013 Microsoft Office Specialist","SharePoint Designer"
"1562460814-1877","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Improve Your Organizational Skills","Time Management"
